frame,timestamp_sec,emotion,emotions_detail
230,9.685433949551522,fear,"{""angry"": 0.18139825761318207, ""disgust"": 1.7119493350037374e-05, ""fear"": 68.1374282836914, ""happy"": 9.055046393768862e-05, ""sad"": 31.554716110229492, ""surprise"": 0.0019487711833789945, ""neutral"": 0.12440596520900726}"
235,9.895986861498294,fear,"{""angry"": 0.1813291758298874, ""disgust"": 0.0006040879525244236, ""fear"": 86.82262420654297, ""happy"": 0.000430826359661296, ""sad"": 12.604166984558105, ""surprise"": 0.0004703753220383078, ""neutral"": 0.39038074016571045}"
240,10.106539773445066,neutral,"{""angry"": 16.48572540283203, ""disgust"": 0.03601571545004845, ""fear"": 0.08058541268110275, ""happy"": 0.02236010693013668, ""sad"": 36.891143798828125, ""surprise"": 0.00043043523328378797, ""neutral"": 46.483734130859375}"
245,10.31709268539184,neutral,"{""angry"": 29.327665328979492, ""disgust"": 0.26487940549850464, ""fear"": 1.9149129390716553, ""happy"": 0.0014753842260688543, ""sad"": 19.646087646484375, ""surprise"": 0.09287656843662262, ""neutral"": 48.752105712890625}"
250,10.527645597338612,angry,"{""angry"": 55.728328704833984, ""disgust"": 2.7217633724212646, ""fear"": 35.11005783081055, ""happy"": 1.5417689085006714, ""sad"": 0.791472852230072, ""surprise"": 0.0012627380201593041, ""neutral"": 4.105349540710449}"
255,10.738198509285384,fear,"{""angry"": 4.436914920806885, ""disgust"": 0.022317059338092804, ""fear"": 35.70503616333008, ""happy"": 0.01145690307021141, ""sad"": 27.01647186279297, ""surprise"": 0.04986904561519623, ""neutral"": 32.757938385009766}"
260,10.948751421232156,fear,"{""angry"": 2.421205997467041, ""disgust"": 0.03706216812133789, ""fear"": 90.71214294433594, ""happy"": 0.08320645242929459, ""sad"": 3.5181150436401367, ""surprise"": 0.6336303949356079, ""neutral"": 2.594632148742676}"
265,11.159304333178929,fear,"{""angry"": 7.823087215423584, ""disgust"": 7.953461170196533, ""fear"": 67.33065795898438, ""happy"": 2.5300850868225098, ""sad"": 9.7320556640625, ""surprise"": 0.6508200168609619, ""neutral"": 3.9798293113708496}"
270,11.3698572451257,fear,"{""angry"": 24.35980796813965, ""disgust"": 9.55617904663086, ""fear"": 33.01062774658203, ""happy"": 0.23848707973957062, ""sad"": 17.0579776763916, ""surprise"": 4.978908061981201, ""neutral"": 10.79801082611084}"
275,11.580410157072473,happy,"{""angry"": 8.4244265963207e-07, ""disgust"": 5.118626453004841e-15, ""fear"": 4.48788384233012e-09, ""happy"": 99.83745574951172, ""sad"": 6.349055752252752e-07, ""surprise"": 0.0005032410845160484, ""neutral"": 0.16203927993774414}"
